"33082","confidence_deadline","326","lineup","foil","./stims/h41.bmp","49","1","1","704.99999999994","0","image-keyboard-response","0.0-83.0-0.1",NULL
"33082","confidence_deadline","328","lineup","foil","./stims/h28.bmp","49","1","1","702","0","image-keyboard-response","0.0-83.0-0.2",NULL
"33082","confidence_deadline","330","lineup","foil","./stims/h38.bmp","49","1","1","678","0","image-keyboard-response","0.0-83.0-0.3",NULL
"33082","confidence_deadline","332","lineup","foil","./stims/h18.bmp","49","1","1","410.99999999994","0","image-keyboard-response","0.0-83.0-0.4",NULL
"33082",NULL,"335","lineup",NULL,"./stims/h49.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-84.0-1.0",NULL
"33082","confidence_deadline","337","lineup","foil","./stims/h11.bmp","49","1","1","622.99999999994","0","image-keyboard-response","0.0-86.0-0.0",NULL
"33082","confidence_deadline","339","lineup","foil","./stims/h29.bmp","49","1","1","589.00000000006","0","image-keyboard-response","0.0-86.0-0.1",NULL
"33082","confidence_deadline","341","lineup","foil","./stims/h43.bmp","49","1","1","599.00000000012","0","image-keyboard-response","0.0-86.0-0.2",NULL
"33082","confidence_deadline","343","lineup","foil","./stims/h22.bmp","49","1","1","493","0","image-keyboard-response","0.0-86.0-0.3",NULL
"33082","confidence_deadline","345","lineup","foil","./stims/h45.bmp","49","1","1","651","0","image-keyboard-response","0.0-86.0-0.4",NULL
"33082",NULL,"348","lineup",NULL,"./stims/h35.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-87.0-1.0",NULL
"33082","confidence_deadline","350","lineup","foil","./stims/h36.bmp","49","1","1","604","0","image-keyboard-response","0.0-89.0-0.0",NULL
"33082","confidence_deadline","352","lineup","foil","./stims/h19.bmp","49","1","1","622","0","image-keyboard-response","0.0-89.0-0.1",NULL
"33082","confidence_deadline","354","lineup","foil","./stims/h22.bmp","49","1","1","654","0","image-keyboard-response","0.0-89.0-0.2",NULL
"33082","confidence_deadline","356","lineup","foil","./stims/h2.bmp","49","1","1","747","0","image-keyboard-response","0.0-89.0-0.3",NULL
"33082","confidence_deadline","358","lineup","foil","./stims/h46.bmp","49","1","1","659","0","image-keyboard-response","0.0-89.0-0.4",NULL
"33082",NULL,"361","lineup",NULL,"./stims/h34.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-90.0-1.0",NULL
"33082","confidence_deadline","363","lineup","foil","./stims/h19.bmp","49","1","1","616","0","image-keyboard-response","0.0-92.0-0.0",NULL
"33082","confidence_deadline","365","lineup","foil","./stims/h13.bmp","49","1","1","651","0","image-keyboard-response","0.0-92.0-0.1",NULL
"33082","confidence_deadline","367","lineup","foil","./stims/h51.bmp","49","1","1","633","0","image-keyboard-response","0.0-92.0-0.2",NULL
"33082","confidence_deadline","369","lineup","foil","./stims/h9.bmp","49","1","1","868","0","image-keyboard-response","0.0-92.0-0.3",NULL
"33082","confidence_deadline","371","lineup","foil","./stims/h28.bmp","49","1","1","571","0","image-keyboard-response","0.0-92.0-0.4",NULL
"33082",NULL,"374","lineup",NULL,"./stims/h49.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-93.0-1.0",NULL
"33082","confidence_deadline","376","lineup","foil","./stims/h12.bmp","49","1","1","695","0","image-keyboard-response","0.0-95.0-0.0",NULL
"33082","confidence_deadline","378","lineup","foil","./stims/h37.bmp","54","6","0","2209","0","image-keyboard-response","0.0-95.0-0.1",NULL
"33082","confidence_deadline","380","lineup","foil","./stims/h32.bmp","49","1","1","669","0","image-keyboard-response","0.0-95.0-0.2",NULL
"33082","confidence_deadline","382","lineup","foil","./stims/h39.bmp","49","1","1","607","0","image-keyboard-response","0.0-95.0-0.3",NULL
"33082","confidence_deadline","384","lineup","foil","./stims/h21.bmp","49","1","1","568","0","image-keyboard-response","0.0-95.0-0.4",NULL
"33082",NULL,"387","lineup",NULL,"./stims/h19.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-96.0-1.0",NULL
"33082","confidence_deadline","389","lineup","foil","./stims/h23.bmp","49","1","1","638","0","image-keyboard-response","0.0-98.0-0.0",NULL
"33082","confidence_deadline","391","lineup","foil","./stims/h34.bmp","49","1","1","622","0","image-keyboard-response","0.0-98.0-0.1",NULL
"33082","confidence_deadline","393","lineup","target","./stims/h19.bmp","55","7","1","2417","0","image-keyboard-response","0.0-98.0-0.2",NULL
"33082","confidence_deadline","395","lineup","foil","./stims/h25.bmp","49","1","1","471","0","image-keyboard-response","0.0-98.0-0.3",NULL
"33082","confidence_deadline","397","lineup","foil","./stims/h30.bmp","52","4","1","2899","0","image-keyboard-response","0.0-98.0-0.4",NULL
"33082",NULL,"400","lineup",NULL,"./stims/h48.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-99.0-1.0",NULL
"33082","confidence_deadline","402","lineup","foil","./stims/h7.bmp","49","1","1","487","0","image-keyboard-response","0.0-101.0-0.0",NULL
"33082","confidence_deadline","404","lineup","foil","./stims/h17.bmp","49","1","1","591","0","image-keyboard-response","0.0-101.0-0.1",NULL
"33082","confidence_deadline","406","lineup","foil","./stims/h13.bmp","49","1","1","617","0","image-keyboard-response","0.0-101.0-0.2",NULL
"33082","confidence_deadline","408","lineup","foil","./stims/h26.bmp","54","6","0","2325","0","image-keyboard-response","0.0-101.0-0.3",NULL
"33082","confidence_deadline","410","lineup","foil","./stims/h37.bmp","49","1","1","644","0","image-keyboard-response","0.0-101.0-0.4",NULL
"33082",NULL,"413","lineup",NULL,"./stims/h33.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-102.0-1.0",NULL
"33082","confidence_deadline","415","lineup","foil","./stims/h17.bmp","49","1","1","617","0","image-keyboard-response","0.0-104.0-0.0",NULL
"33082","confidence_deadline","417","lineup","foil","./stims/h26.bmp","49","1","1","450","0","image-keyboard-response","0.0-104.0-0.1",NULL
"33082","confidence_deadline","419","lineup","foil","./stims/h11.bmp","49","1","1","363","0","image-keyboard-response","0.0-104.0-0.2",NULL
"33082","confidence_deadline","421","lineup","foil","./stims/h41.bmp","49","1","1","487.00000000012","0","image-keyboard-response","0.0-104.0-0.3",NULL
"33082","confidence_deadline","423","lineup","foil","./stims/h47.bmp","49","1","1","482","0","image-keyboard-response","0.0-104.0-0.4",NULL
"33082",NULL,"428","lineup",NULL,"./stims/h6.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-107.0-1.0",NULL
"33082","confidence_no_deadline","430","lineup","foil","./stims/h41.bmp","49","1","1","1264","0","image-keyboard-response","0.0-109.0-0.0",NULL
"33082","confidence_no_deadline","432","lineup","foil","./stims/h33.bmp","49","1","1","666","0","image-keyboard-response","0.0-109.0-0.1",NULL
"33082","confidence_no_deadline","434","lineup","foil","./stims/h42.bmp","49","1","1","1312","0","image-keyboard-response","0.0-109.0-0.2",NULL
"33082","confidence_no_deadline","436","lineup","foil","./stims/h14.bmp","49","1","1","1278","0","image-keyboard-response","0.0-109.0-0.3",NULL
"33082","confidence_no_deadline","438","lineup","foil","./stims/h18.bmp","49","1","1","323","0","image-keyboard-response","0.0-109.0-0.4",NULL
"33082",NULL,"441","lineup",NULL,"./stims/h3.bmp",NULL,NULL,NULL,NULL,NULL,"image-keyboard-response","0.0-110.0-1.0",NULL
